Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_HandSoldering,31.12,24.725,180,top
C2,18pF,C_0402,29.885,30.2395,270,top
C3,18pF,C_0402,29.885,28.2605,90,top
C4,10uF,C_0603_HandSoldering,31.054,22.058,180,top
C5,4.7uF,C_0603_HandSoldering,25,30.7,90,top
C8,0.1uF,C_0603_HandSoldering,17.338,19.9625,0,top
C9,10uF,C_0603_HandSoldering,17.338,21.2325,0,top
C10,0.1uF,C_0603_HandSoldering,12.038,18.949,90,top
C11,10uF,C_0603_HandSoldering,10.688,18.949,90,top
C12,10uF,C_0603_HandSoldering,27.15,27.15,90,top
C13,0.1uF,C_0603_HandSoldering,27.2012,17.828,0,top
C14,10uF,C_0603_HandSoldering,27.2012,19.078,0,top
C15,0.1uF,C_0603_HandSoldering,22.037,16.863,90,top
C16,10uF,C_0603_HandSoldering,20.675,16.863,90,top
D1,19-213/Y2C-CQ2R2L/3T(CY),LED_0603_HandSoldering,40.833,35.65,90,top
D2,19-213/Y2C-CQ2R2L/3T(CY),LED_0603_HandSoldering,43.5635,35.604,90,top
D3,1N5819WS,D_SOD-323,25.35,26.95,90,top
D4,19-213/Y2C-CQ2R2L/3T(CY),LED_0603_HandSoldering,22.334,28.281,0,top
D5,19-213/Y2C-CQ2R2L/3T(CY),LED_0603_HandSoldering,33.2003,3.0969,90,top
D6,19-213/Y2C-CQ2R2L/3T(CY),LED_0603_HandSoldering,34.9783,3.0129,90,top
D7,1N5819WS,D_SOD-323,35.5945,36.8,0,top
IC2,MAX11128ATI+,QFN50P500X500X80-29N,15.814,16.216,90,top
IC3,MAX11128ATI+,QFN50P500X500X80-29N,25.847,14.1586,90,top
J1,USB_B_Micro,USB_Micro-B_10118194-0001LF,27.25,35,180,top
R3,27,R_0603_1608Metric_Pad0.84x1.00mm_HandSolder,35.3085,18.873,270,top
R4,27,R_0603_1608Metric_Pad0.84x1.00mm_HandSolder,36.642,18.873,270,top
R5,10k,R_0402_1005Metric,30.673,10.8185,0,top
R7,270,R_0603_HandSoldering,22.375,26.884,0,top
R8,120,R_0603_HandSoldering,33.2003,6.8534,270,top
R9,300,R_0603_HandSoldering,34.9783,6.8534,270,top
R10,100k,R_0603_HandSoldering,35.682,35.2865,180,top
R11,100k,R_0603_HandSoldering,35.682,33.823,0,top
SW1,TS-1109S-B-B,Button,31.754,15.5,270,top
U3,113990582,113990582,41.75,26.75,270,top
XTAL1,Q13FC1350000400,Crystal_SMD_G8-2pin_3.2x1.5mm,31.635,29.25,270,top
